id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
27728485,abee8dc6-f743-4907-933b-3d913f3ec5f3,2019-06-26 2:03:00 pm BST,2019-06-26,2019-06-26 14:03:00 UTC,UTC,1744885,freyjabrown,Freyja Brown,2019-06-27 00:27:08 UTC,2020-02-26 14:02:27 UTC,research,,https://www.inaturalist.org/observations/27728485,https://static.inaturalist.org/photos/43173161/medium.jpeg,,"",Female,2,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
28634584,3a7caa7c-8e63-4391-b0ca-226de726b491,2019-07-11 7:22:43 pm BST,2019-07-11,2019-07-11 18:22:43 UTC,Edinburgh,1835240,averixus,Avery,2019-07-11 20:39:16 UTC,2019-07-12 06:06:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28634584,https://inaturalist-open-data.s3.amazonaws.com/photos/44649563/medium.jpeg,,"",She had a lot of ducklings under there.,2,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
28687899,ba24111a-7750-4ff2-9443-5d130f498451,2019/07/11 1:10 PM CEST,2019-07-11,2019-07-11 11:10:00 UTC,Berlin,32124,martingrimm,Martin Grimm,2019-07-12 19:15:43 UTC,2021-10-09 21:58:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28687899,https://inaturalist-open-data.s3.amazonaws.com/photos/44735271/medium.jpg,,"",,3,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
28775758,06351454-dcb9-4d7f-9bc1-1141f2c18690,2019/06/24 7:32 AM PDT,2019-06-24,2019-06-24 14:32:00 UTC,Pacific Time (US & Canada),1653276,lglevanik,Lauren Glevanik,2019-07-14 03:46:30 UTC,2021-03-18 03:34:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28775758,https://inaturalist-open-data.s3.amazonaws.com/photos/44879501/medium.jpeg,,"","",2,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
28881867,c5631113-f879-46d6-8bf9-9a4fa2a9e978,2019/07/13 3:06 PM CEST,2019-07-13,2019-07-13 13:06:00 UTC,Amsterdam,975480,cherusker,Jim,2019-07-15 18:46:43 UTC,2019-07-17 11:35:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28881867,https://inaturalist-open-data.s3.amazonaws.com/photos/45047113/medium.jpeg,,"",,2,0,false,,Stockente,Anas platyrhynchos,Кряква,Aves,6930
29281216,71b2e1f8-11e2-405b-8d2f-08f2dbbd75e8,2019/07/21 7:29 PM CEST,2019-07-21,2019-07-21 17:29:00 UTC,Amsterdam,1756341,katherine_jane,Katherine Wright,2019-07-21 23:14:49 UTC,2022-09-03 02:04:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29281216,https://inaturalist-open-data.s3.amazonaws.com/photos/45688128/medium.jpeg,,"",,4,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
29374619,be1e979d-05e5-4023-ae8c-d97e1aa3bc1f,2018-06-06,2018-06-06,,UTC,2040073,rdlgv,"",2019-07-23 12:30:17 UTC,2019-07-28 12:53:08 UTC,research,,https://www.inaturalist.org/observations/29374619,https://inaturalist-open-data.s3.amazonaws.com/photos/45842181/medium.jpeg,,"",,1,0,false,333,Stockente,Anas platyrhynchos,Кряква,Aves,6930
30418641,b4bbce85-b194-4ecd-b4f2-abab9cb1134c,2019-08-08 10:21:55 am BST,2019-08-08,2019-08-08 10:21:55 UTC,UTC,1175846,pleopard,PLeopard,2019-08-08 12:35:04 UTC,2019-10-29 00:49:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/30418641,https://inaturalist-open-data.s3.amazonaws.com/photos/47523987/medium.jpeg,,"",,2,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
30738267,483b9fbc-ee0a-4766-bda6-f12c54279220,Tue Aug 13 2019 07:53:24 GMT+0100 (GMT+1),2019-08-13,2019-08-13 05:53:24 UTC,Amsterdam,299197,scrappapertiger,Sonny Hallett,2019-08-13 08:09:41 UTC,2019-10-29 00:49:17 UTC,research,,https://www.inaturalist.org/observations/30738267,https://static.inaturalist.org/photos/48039679/medium.jpg,,"",,2,0,false,3,Mallard,Anas platyrhynchos,Кряква,Aves,6930
31810006,3b7f5bc7-a4b4-429e-850c-35f66fda777b,2019-08-30 4:27:00 pm BST,2019-08-30,2019-08-30 16:27:00 UTC,UTC,2149378,heng_uk,Heng Ng,2019-08-30 20:27:24 UTC,2019-08-31 10:12:41 UTC,research,,https://www.inaturalist.org/observations/31810006,https://static.inaturalist.org/photos/49825316/medium.jpeg,,"",,1,0,false,2,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
34016183,b57cd904-73f6-4b10-888c-68268ed881ca,2019-10-07 5:20:25 PM GMT+02:00,2019-10-07,2019-10-07 15:20:25 UTC,Pretoria,2287599,astrowild,Porcherot Bossu,2019-10-07 15:56:52 UTC,2022-10-04 14:13:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34016183,https://inaturalist-open-data.s3.amazonaws.com/photos/53555351/medium.jpeg,,"",Canard observé avec une dizaine de ses congénères.,6,0,false,2,Lavanco,Anas platyrhynchos,Кряква,Aves,6930
34117494,84346065-edf8-4856-b723-b752d3289f2e,2019/10/01 5:35 PM CEST,2019-10-01,2019-10-01 15:35:00 UTC,Amsterdam,1756341,katherine_jane,Katherine Wright,2019-10-09 15:24:09 UTC,2022-09-03 02:04:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34117494,https://inaturalist-open-data.s3.amazonaws.com/photos/53652692/medium.jpg,,"",,2,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
34117500,1b1194e6-05e8-467f-97fe-7df1f34b1f0a,2019/10/01 5:35 PM CEST,2019-10-01,2019-10-01 15:35:00 UTC,Amsterdam,1756341,katherine_jane,Katherine Wright,2019-10-09 15:24:14 UTC,2022-09-03 02:04:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34117500,https://inaturalist-open-data.s3.amazonaws.com/photos/53652703/medium.jpg,,"",,2,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
34200351,55c20875-567f-45f2-9d2a-9fb2145ae60d,2019/10/05 4:26 PM CEST,2019-10-05,2019-10-05 14:26:00 UTC,Amsterdam,26121,wouterkoch,Wouter Koch,2019-10-11 12:40:22 UTC,2024-04-20 00:46:01 UTC,research,CC0,https://www.inaturalist.org/observations/34200351,https://inaturalist-open-data.s3.amazonaws.com/photos/53795602/medium.jpg,,"",,5,0,false,,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
